#NAME X             Y             Z             SEFDR SEFDL FR_PAR_ANGLE FR_ELEV_ANGLE FR_OFFSET[d] DR_RE   DR_IM   DL_RE    DL_IM 
ALMA   2225061.16   -5440057.37   -2481681.15     90    90  1            0             0            0       0       0        0
APEX   2225039.53   -5441197.63   -2479303.36   3500  3500  1            1             0            0       0       0        0
GLT     541270.83   -1388280.73    6180846.70  10000 10000  0            0             0            0       0       0        0
JCMT  -5464584.68   -2493001.17    2150653.98   6000  6000  1            0             0            0       0       0        0
KP    -1995678.84   -5037317.70    3357328.02  10000 10000  0            0             0            0       0       0        0
LMT    -768713.96   -5988541.80    2063275.95    600   600  1            -1            0            0       0       0        0
NOEMA  4523998.40     468045.24    4460309.76   1500  1500  0            0             0            0       0       0        0
PV     5088967.90    -301681.60    3825015.80   1400  1400  1            -1            0            0       0       0        0
SMA   -5464523.40   -2493147.08    2150611.75   4900  4900  1            -1            45           0.022   0.009   0.008    0.010
SMT   -1828796.20   -5054406.80    3427865.20   5000  5000  1            1             0            0.012   0.106   -0.007   0.093
SPT          0.01          0.01   -6359609.70   5000  5000  1            0             0            0       0       0        0
OVRO  -2397431.30   -4482018.90    3843524.50  10000 10000  0            0             0            0       0       0        0
